inAir9 ready!
inAir9 freq: 915.00
inAir9 LoRa mod10
inAir9 listening ...

814456 Rx, payload: Decir adios es crecer 406, rssi: -18
816472 Rx, payload: Decir adios es crecer 407, rssi: -17
818489 Rx, payload: Decir adios es crecer 408, rssi: -18
820506 Rx, payload: Decir adios es crecer 409, rssi: -17
822523 Rx, payload: Decir adios es crecer 410, rssi: -18
824539 Rx, payload: Decir adios es crecer 411, rssi: -18
826556 Rx, payload: Decir adios es crecer 412, rssi: -18
828573 Rx, payload: Decir adios es crecer 413, rssi: -18
830590 Rx, payload: Decir adios es crecer 414, rssi: -18
832608 Rx, payload: Decir adios es crecer 415, rssi: -18
834623 Rx, payload: Decir adios es crecer 416, rssi: -18
836640 Rx, payload: Decir adios es crecer 417, rssi: -18
838658 Rx, payload: Decir adios es crecer 418, rssi: -18
840675 Rx, payload: Decir adios es crecer 419, rssi: -17
842690 Rx, payload: Decir adios es crecer 420, rssi: -17
844707 Rx, payload: Decir adios es crecer 421, rssi: -18
846725 Rx, payload: Decir adios es crecer 422, rssi: -17
848742 Rx, payload: Decir adios es crecer 423, rssi: -17
850759 Rx, payload: Decir adios es crecer 424, rssi: -18
852774 Rx, payload: Decir adios es crecer 425, rssi: -18
854792 Rx, payload: Decir adios es crecer 426, rssi: -18
856809 Rx, payload: Decir adios es crecer 427, rssi: -17
858826 Rx, payload: Decir adios es crecer 428, rssi: -18
860841 Rx, payload: Decir adios es crecer 429, rssi: -18
862859 Rx, payload: Decir adios es crecer 430, rssi: -18
864876 Rx, payload: Decir adios es crecer 431, rssi: -17
866893 Rx, payload: Decir adios es crecer 432, rssi: -17
868911 Rx, payload: Decir adios es crecer 433, rssi: -17
870926 Rx, payload: Decir adios es crecer 434, rssi: -17
872943 Rx, payload: Decir adios es crecer 435, rssi: -17
874960 Rx, payload: Decir adios es crecer 436, rssi: -17
876978 Rx, payload: Decir adios es crecer 437, rssi: -18
878993 Rx, payload: Decir adios es crecer 438, rssi: -17
881010 Rx, payload: Decir adios es crecer 439, rssi: -17
883027 Rx, payload: Decir adios es crecer 440, rssi: -18
885045 Rx, payload: Decir adios es crecer 441, rssi: -19
887062 Rx, payload: Decir adios es crecer 442, rssi: -17
889077 Rx, payload: Decir adios es crecer 443, rssi: -18
891095 Rx, payload: Decir adios es crecer 444, rssi: -18
893112 Rx, payload: Decir adios es crecer 445, rssi: -18
895129 Rx, payload: Decir adios es crecer 446, rssi: -18
897144 Rx, payload: Decir adios es crecer 447, rssi: -18
899162 Rx, payload: Decir adios es crecer 448, rssi: -18
901179 Rx, payload: Decir adios es crecer 449, rssi: -18
903196 Rx, payload: Decir adios es crecer 450, rssi: -17
905213 Rx, payload: Decir adios es crecer 451, rssi: -17
907229 Rx, payload: Decir adios es crecer 452, rssi: -17
909246 Rx, payload: Decir adios es crecer 453, rssi: -17
911263 Rx, payload: Decir adios es crecer 454, rssi: -17
913281 Rx, payload: Decir adios es crecer 455, rssi: -17
915296 Rx, payload: Decir adios es crecer 456, rssi: -18
917313 Rx, payload: Decir adios es crecer 457, rssi: -18
919330 Rx, payload: Decir adios es crecer 458, rssi: -17
921348 Rx, payload: Decir adios es crecer 459, rssi: -17
923365 Rx, payload: Decir adios es crecer 460, rssi: -18
925380 Rx, payload: Decir adios es crecer 461, rssi: -18
927397 Rx, payload: Decir adios es crecer 462, rssi: -18
929415 Rx, payload: Decir adios es crecer 463, rssi: -17
931432 Rx, payload: Decir adios es crecer 464, rssi: -17
933447 Rx, payload: Decir adios es crecer 465, rssi: -17
935464 Rx, payload: Decir adios es crecer 466, rssi: -17
939499 Rx, payload: Decir adios es crecer 468, rssi: -18
