inAir9 ready!
inAir9 freq: 915.00
inAir Tx power: 
inAir9 LoRa mod10
Begining Tx...

579448 Tx, payload: Decir adios es crecer, tx time: 16496 us
581466 Tx, payload: Decir adios es crecer, tx time: 16480 us
583485 Tx, payload: Decir adios es crecer, tx time: 16496 us
585502 Tx, payload: Decir adios es crecer, tx time: 16480 us
587522 Tx, payload: Decir adios es crecer, tx time: 16496 us
589539 Tx, payload: Decir adios es crecer, tx time: 16480 us
591558 Tx, payload: Decir adios es crecer, tx time: 16488 us
593575 Tx, payload: Decir adios es crecer, tx time: 16480 us
595595 Tx, payload: Decir adios es crecer, tx time: 16496 us
597612 Tx, payload: Decir adios es crecer, tx time: 16480 us
599631 Tx, payload: Decir adios es crecer, tx time: 16488 us
601649 Tx, payload: Decir adios es crecer, tx time: 16472 us
603668 Tx, payload: Decir adios es crecer, tx time: 16488 us
605685 Tx, payload: Decir adios es crecer, tx time: 16480 us
607705 Tx, payload: Decir adios es crecer, tx time: 16488 us
609722 Tx, payload: Decir adios es crecer, tx time: 16480 us
611741 Tx, payload: Decir adios es crecer, tx time: 16488 us
613758 Tx, payload: Decir adios es crecer, tx time: 16480 us
615778 Tx, payload: Decir adios es crecer, tx time: 16496 us
617795 Tx, payload: Decir adios es crecer, tx time: 16480 us
619814 Tx, payload: Decir adios es crecer, tx time: 16496 us
621832 Tx, payload: Decir adios es crecer, tx time: 16480 us
623851 Tx, payload: Decir adios es crecer, tx time: 16488 us
625868 Tx, payload: Decir adios es crecer, tx time: 16480 us
627888 Tx, payload: Decir adios es crecer, tx time: 16496 us
629905 Tx, payload: Decir adios es crecer, tx time: 16480 us
631924 Tx, payload: Decir adios es crecer, tx time: 16488 us
633942 Tx, payload: Decir adios es crecer, tx time: 16480 us
635961 Tx, payload: Decir adios es crecer, tx time: 16488 us
637978 Tx, payload: Decir adios es crecer, tx time: 16480 us
639997 Tx, payload: Decir adios es crecer, tx time: 16488 us
642015 Tx, payload: Decir adios es crecer, tx time: 16472 us
